doc_id,url,file_path,title,doc_type,year,program,status,notes
unl_engineering_college_overview,https://catalog.unl.edu/undergraduate/engineering/,data/raw/unl/unl_engineering_college_overview.html,UNL College of Engineering Overview,college_overview,,computer_science_undergraduate,active,College policies and degree context for engineering undergraduates
unl_cs_degree_requirements,https://catalog.unl.edu/undergraduate/engineering/computer-science/,data/raw/unl/unl_cs_degree_requirements.html,UNL Computer Science Degree Requirements,degree_requirements,,computer_science_undergraduate,active,Primary undergraduate CS degree and curriculum page
unl_cs_course_catalog,https://catalog.unl.edu/undergraduate/courses/csce/,data/raw/unl/unl_cs_course_catalog.html,UNL Computer Science Course Descriptions,course_catalog,,computer_science_undergraduate,active,Course descriptions for CSCE offerings
unl_undergrad_policies_pdf,https://catalog.unl.edu/undergraduate/academic-policies-other-units/procedures/procedures.pdf,data/raw/unl/unl_undergraduate_academic_policies.pdf,UNL Undergraduate Academic Policies and Procedures,academic_policy,,computer_science_undergraduate,active,University-wide undergraduate procedures PDF
unl_academic_calendar,https://registrar.unl.edu/calendars/academic-calendar/,data/raw/unl/unl_academic_calendar.html,UNL Academic Calendar,academic_calendar,,computer_science_undergraduate,active,Registrar calendar landing page
unl_projected_calendars,https://registrar.unl.edu/calendars/academic-calendar/projected-calendars/,data/raw/unl/unl_projected_academic_calendars.html,UNL Projected Academic Calendars,academic_calendar,,computer_science_undergraduate,active,Projected academic calendars by term
unl_add_drop_withdraw,https://registrar.unl.edu/student-resources/registration/adds-drops-changes-and-withdrawals/,data/raw/unl/unl_add_drop_withdraw.html,UNL Adds Drops Changes and Withdrawals,registration_policy,,computer_science_undergraduate,active,Registrar guidance for schedule changes and withdrawals
unl_course_withdrawal_appeal,https://registrar.unl.edu/academic-standards/academic-policies/appeal-procedure-course-withdrawals/,data/raw/unl/unl_course_withdrawal_appeal.html,UNL Appeal Procedure for Course Withdrawals,registration_policy,,computer_science_undergraduate,active,Appeal process for course withdrawal cases
unl_class_attendance_policy,https://registrar.unl.edu/sites/unl.edu.asem.registrar/files/policies/Class_Attendance.pdf,data/raw/unl/unl_class_attendance_policy.pdf,UNL Class Attendance Policy,attendance_policy,,computer_science_undergraduate,active,Official attendance policy PDF
unl_undergrad_tuition_2025_2026,https://studentaccounts.unl.edu/undergraduate-tuition-and-fees-2025-2026/,data/raw/unl/unl_undergraduate_tuition_2025_2026.html,UNL Undergraduate Tuition and Fees 2025 2026,tuition_fees,2025,computer_science_undergraduate,active,Tuition and fee schedule for undergraduates
unl_student_account_policies,https://studentaccounts.unl.edu/policies-forms/policies/,data/raw/unl/unl_student_account_policies.html,UNL Student Accounts Policies,billing_policy,,computer_science_undergraduate,active,Policies governing billing and accounts
unl_billing_process,https://studentaccounts.unl.edu/billing/billing-process/,data/raw/unl/unl_billing_process.html,UNL Billing Process,billing_policy,,computer_science_undergraduate,active,Billing cycle and statement information
unl_payment_credits_refunds,https://studentaccounts.unl.edu/billing/payment-credits-refunds/,data/raw/unl/unl_payment_credits_refunds.html,UNL Payments Credits and Refunds,payment_faq,,computer_science_undergraduate,active,Payments and refund handling
unl_pay_bill_online,https://studentaccounts.unl.edu/how/access-and-pay-my-bill-online/,data/raw/unl/unl_pay_bill_online.html,UNL Access and Pay My Bill Online,payment_faq,,computer_science_undergraduate,active,How students pay bills online
unl_cost_of_attendance,https://financialaid.unl.edu/cost/,data/raw/unl/unl_cost_of_attendance.html,UNL Cost of Attendance,financial_aid,,computer_science_undergraduate,active,Estimated cost of attendance and budgeting
unl_scholarships,https://financialaid.unl.edu/types-funding/scholarships/,data/raw/unl/unl_scholarships.html,UNL Scholarships,scholarship_policy,,computer_science_undergraduate,active,Scholarship overview and process
unl_sap_policy,https://financialaid.unl.edu/maintaining-eligibility/satisfactory-academic-progress/,data/raw/unl/unl_satisfactory_academic_progress.html,UNL Satisfactory Academic Progress,scholarship_policy,,computer_science_undergraduate,active,Financial aid eligibility maintenance rules
unl_new_nebraskan_scholarship,https://financialaid.unl.edu/new-nebraskan-tuition-scholarship/,data/raw/unl/unl_new_nebraskan_tuition_scholarship.html,UNL New Nebraskan Tuition Scholarship,scholarship_policy,,computer_science_undergraduate,active,Scholarship rules for qualifying out-of-state students
unl_cs_internship_credit,https://computing.unl.edu/internship-credit/,data/raw/unl/unl_cs_internship_credit.html,UNL Internship Credit for Computing Students,internship_policy,,computer_science_undergraduate,active,Rules for receiving internship credit
unl_cs_senior_design,https://computing.unl.edu/senior-design/,data/raw/unl/unl_cs_senior_design.html,UNL Senior Design for Computing Students,capstone_guidelines,,computer_science_undergraduate,active,Senior design expectations and sequence
unl_cs_major_overview,https://computing.unl.edu/major/computer-science/,data/raw/unl/unl_cs_major_overview.html,UNL Computer Science Major Overview,program_overview,,computer_science_undergraduate,active,Department-level overview of the undergraduate major
unl_engineering_internships,https://engineering.unl.edu/careerservices/students/co-ops-internships/,data/raw/unl/unl_engineering_internships.html,UNL Engineering Co Ops and Internships,internship_policy,,computer_science_undergraduate,active,Engineering career services guidance for internships
unl_nest_support,https://engineering.unl.edu/nest/,data/raw/unl/unl_nest_support.html,UNL NEST Student Support,student_services,,computer_science_undergraduate,active,Engineering student support and wellbeing hub
unl_student_organizations,https://computing.unl.edu/student-organizations/,data/raw/unl/unl_student_organizations.html,UNL Computing Student Organizations,student_services,,computer_science_undergraduate,active,Department student organizations and engagement opportunities
